size,array_type,algorithm,threshold,repeats,time_ms
500,random,merge,0,5,0.0867
500,random,merge_insertion,5,5,0.09298
500,random,merge_insertion,10,5,0.06926
500,random,merge_insertion,15,5,0.0634
500,random,merge_insertion,20,5,0.11204
500,random,merge_insertion,30,5,0.06526
500,random,merge_insertion,50,5,0.06316
500,reversed,merge,0,5,0.05372
500,reversed,merge_insertion,5,5,0.0427
500,reversed,merge_insertion,10,5,0.04054
500,reversed,merge_insertion,15,5,0.0391
500,reversed,merge_insertion,20,5,0.04358
500,reversed,merge_insertion,30,5,0.0405
500,reversed,merge_insertion,50,5,0.0544
500,almost_sorted,merge,0,5,0.0511
500,almost_sorted,merge_insertion,5,5,0.03974
500,almost_sorted,merge_insertion,10,5,0.03496
500,almost_sorted,merge_insertion,15,5,0.03186
500,almost_sorted,merge_insertion,20,5,0.02854
500,almost_sorted,merge_insertion,30,5,0.02804
500,almost_sorted,merge_insertion,50,5,0.023
600,random,merge,0,5,0.11104
600,random,merge_insertion,5,5,0.09602
600,random,merge_insertion,10,5,0.08516
600,random,merge_insertion,15,5,0.08336
600,random,merge_insertion,20,5,0.07802
600,random,merge_insertion,30,5,0.07688
600,random,merge_insertion,50,5,0.08422
600,reversed,merge,0,5,0.07146
600,reversed,merge_insertion,5,5,0.05364
600,reversed,merge_insertion,10,5,0.06122
600,reversed,merge_insertion,15,5,0.04478
600,reversed,merge_insertion,20,5,0.05258
600,reversed,merge_insertion,30,5,0.0534
600,reversed,merge_insertion,50,5,0.074
600,almost_sorted,merge,0,5,0.06242
600,almost_sorted,merge_insertion,5,5,0.04674
600,almost_sorted,merge_insertion,10,5,0.03914
600,almost_sorted,merge_insertion,15,5,0.03884
600,almost_sorted,merge_insertion,20,5,0.03232
600,almost_sorted,merge_insertion,30,5,0.03308
600,almost_sorted,merge_insertion,50,5,0.02604
700,random,merge,0,5,0.20368
700,random,merge_insertion,5,5,0.11146
700,random,merge_insertion,10,5,0.106
700,random,merge_insertion,15,5,0.10282
700,random,merge_insertion,20,5,0.0983
700,random,merge_insertion,30,5,0.09628
700,random,merge_insertion,50,5,0.10182
700,reversed,merge,0,5,0.07846
700,reversed,merge_insertion,5,5,0.06286
700,reversed,merge_insertion,10,5,0.05774
700,reversed,merge_insertion,15,5,0.05666
700,reversed,merge_insertion,20,5,0.0558
700,reversed,merge_insertion,30,5,0.06744
700,reversed,merge_insertion,50,5,0.09612
700,almost_sorted,merge,0,5,0.07434
700,almost_sorted,merge_insertion,5,5,0.0576
700,almost_sorted,merge_insertion,10,5,0.05342
700,almost_sorted,merge_insertion,15,5,0.0451
700,almost_sorted,merge_insertion,20,5,0.0443
700,almost_sorted,merge_insertion,30,5,0.03682
700,almost_sorted,merge_insertion,50,5,0.0306
800,random,merge,0,5,0.14952
800,random,merge_insertion,5,5,0.12986
800,random,merge_insertion,10,5,0.12152
800,random,merge_insertion,15,5,0.11434
800,random,merge_insertion,20,5,0.10938
800,random,merge_insertion,30,5,0.11104
800,random,merge_insertion,50,5,0.11206
800,reversed,merge,0,5,0.08208
800,reversed,merge_insertion,5,5,0.0678
800,reversed,merge_insertion,10,5,0.06144
800,reversed,merge_insertion,15,5,0.06244
800,reversed,merge_insertion,20,5,0.06
800,reversed,merge_insertion,30,5,0.07382
800,reversed,merge_insertion,50,5,0.10748
800,almost_sorted,merge,0,5,0.0764
800,almost_sorted,merge_insertion,5,5,0.06216
800,almost_sorted,merge_insertion,10,5,0.05406
800,almost_sorted,merge_insertion,15,5,0.05096
800,almost_sorted,merge_insertion,20,5,0.04776
800,almost_sorted,merge_insertion,30,5,0.03798
800,almost_sorted,merge_insertion,50,5,0.0315
900,random,merge,0,5,0.1495
900,random,merge_insertion,5,5,0.13136
900,random,merge_insertion,10,5,0.12212
900,random,merge_insertion,15,5,0.11284
900,random,merge_insertion,20,5,0.11272
900,random,merge_insertion,30,5,0.11542
900,random,merge_insertion,50,5,0.1127
900,reversed,merge,0,5,0.08648
900,reversed,merge_insertion,5,5,0.07432
900,reversed,merge_insertion,10,5,0.06342
900,reversed,merge_insertion,15,5,0.06266
900,reversed,merge_insertion,20,5,0.0919
900,reversed,merge_insertion,30,5,0.07758
900,reversed,merge_insertion,50,5,0.0784
900,almost_sorted,merge,0,5,0.07668
900,almost_sorted,merge_insertion,5,5,0.06098
900,almost_sorted,merge_insertion,10,5,0.05522
900,almost_sorted,merge_insertion,15,5,0.04708
900,almost_sorted,merge_insertion,20,5,0.04966
900,almost_sorted,merge_insertion,30,5,0.03778
900,almost_sorted,merge_insertion,50,5,0.04226
1000,random,merge,0,5,0.15202
1000,random,merge_insertion,5,5,0.16562
1000,random,merge_insertion,10,5,0.28998
1000,random,merge_insertion,15,5,0.21466
1000,random,merge_insertion,20,5,0.19172
1000,random,merge_insertion,30,5,0.2523
1000,random,merge_insertion,50,5,0.20108
1000,reversed,merge,0,5,0.14614
1000,reversed,merge_insertion,5,5,0.11526
1000,reversed,merge_insertion,10,5,0.10786
1000,reversed,merge_insertion,15,5,0.10798
1000,reversed,merge_insertion,20,5,0.11246
1000,reversed,merge_insertion,30,5,0.1464
1000,reversed,merge_insertion,50,5,0.1482
1000,almost_sorted,merge,0,5,0.13818
1000,almost_sorted,merge_insertion,5,5,0.1075
1000,almost_sorted,merge_insertion,10,5,0.09416
1000,almost_sorted,merge_insertion,15,5,0.0804
1000,almost_sorted,merge_insertion,20,5,0.07008
1000,almost_sorted,merge_insertion,30,5,0.06876
1000,almost_sorted,merge_insertion,50,5,0.05674
1100,random,merge,0,5,0.22348
1100,random,merge_insertion,5,5,0.19244
1100,random,merge_insertion,10,5,0.17808
1100,random,merge_insertion,15,5,0.18258
1100,random,merge_insertion,20,5,0.17224
1100,random,merge_insertion,30,5,0.1919
1100,random,merge_insertion,50,5,0.19626
1100,reversed,merge,0,5,0.12626
1100,reversed,merge_insertion,5,5,0.10144
1100,reversed,merge_insertion,10,5,0.09508
1100,reversed,merge_insertion,15,5,0.09312
1100,reversed,merge_insertion,20,5,0.1032
1100,reversed,merge_insertion,30,5,0.10536
1100,reversed,merge_insertion,50,5,0.1385
1100,almost_sorted,merge,0,5,0.1181
1100,almost_sorted,merge_insertion,5,5,0.09486
1100,almost_sorted,merge_insertion,10,5,0.11398
1100,almost_sorted,merge_insertion,15,5,0.08146
1100,almost_sorted,merge_insertion,20,5,0.06902
1100,almost_sorted,merge_insertion,30,5,0.06832
1100,almost_sorted,merge_insertion,50,5,0.05894
1200,random,merge,0,5,0.23828
1200,random,merge_insertion,5,5,0.22114
1200,random,merge_insertion,10,5,0.19342
1200,random,merge_insertion,15,5,0.19266
1200,random,merge_insertion,20,5,0.18646
1200,random,merge_insertion,30,5,0.19064
1200,random,merge_insertion,50,5,0.2071
1200,reversed,merge,0,5,0.16662
1200,reversed,merge_insertion,5,5,0.172
1200,reversed,merge_insertion,10,5,0.12238
1200,reversed,merge_insertion,15,5,0.098
1200,reversed,merge_insertion,20,5,0.10968
1200,reversed,merge_insertion,30,5,0.11332
1200,reversed,merge_insertion,50,5,0.15852
1200,almost_sorted,merge,0,5,0.13416
1200,almost_sorted,merge_insertion,5,5,0.10472
1200,almost_sorted,merge_insertion,10,5,0.0883
1200,almost_sorted,merge_insertion,15,5,0.08762
1200,almost_sorted,merge_insertion,20,5,0.07632
1200,almost_sorted,merge_insertion,30,5,0.0761
1200,almost_sorted,merge_insertion,50,5,0.06348
1300,random,merge,0,5,0.33348
1300,random,merge_insertion,5,5,0.21654
1300,random,merge_insertion,10,5,0.2263
1300,random,merge_insertion,15,5,0.19472
1300,random,merge_insertion,20,5,0.18902
1300,random,merge_insertion,30,5,0.18524
1300,random,merge_insertion,50,5,0.1903
1300,reversed,merge,0,5,0.23206
1300,reversed,merge_insertion,5,5,0.10704
1300,reversed,merge_insertion,10,5,0.09672
1300,reversed,merge_insertion,15,5,0.09528
1300,reversed,merge_insertion,20,5,0.10656
1300,reversed,merge_insertion,30,5,0.1106
1300,reversed,merge_insertion,50,5,0.1488
1300,almost_sorted,merge,0,5,0.15344
1300,almost_sorted,merge_insertion,5,5,0.0941
1300,almost_sorted,merge_insertion,10,5,0.08106
1300,almost_sorted,merge_insertion,15,5,0.0765
1300,almost_sorted,merge_insertion,20,5,0.06946
1300,almost_sorted,merge_insertion,30,5,0.06468
1300,almost_sorted,merge_insertion,50,5,0.05546
1400,random,merge,0,5,0.22956
1400,random,merge_insertion,5,5,0.2159
1400,random,merge_insertion,10,5,0.1852
1400,random,merge_insertion,15,5,0.17514
1400,random,merge_insertion,20,5,0.19006
1400,random,merge_insertion,30,5,0.16622
1400,random,merge_insertion,50,5,0.17482
1400,reversed,merge,0,5,0.11786
1400,reversed,merge_insertion,5,5,0.09378
1400,reversed,merge_insertion,10,5,0.0878
1400,reversed,merge_insertion,15,5,0.0847
1400,reversed,merge_insertion,20,5,0.08346
1400,reversed,merge_insertion,30,5,0.11742
1400,reversed,merge_insertion,50,5,0.1371
1400,almost_sorted,merge,0,5,0.10786
1400,almost_sorted,merge_insertion,5,5,0.08828
1400,almost_sorted,merge_insertion,10,5,0.08276
1400,almost_sorted,merge_insertion,15,5,0.0709
1400,almost_sorted,merge_insertion,20,5,0.07076
1400,almost_sorted,merge_insertion,30,5,0.05988
1400,almost_sorted,merge_insertion,50,5,0.05158
1500,random,merge,0,5,0.21136
1500,random,merge_insertion,5,5,0.19338
1500,random,merge_insertion,10,5,0.18264
1500,random,merge_insertion,15,5,0.17416
1500,random,merge_insertion,20,5,0.19428
1500,random,merge_insertion,30,5,0.16942
1500,random,merge_insertion,50,5,0.17998
1500,reversed,merge,0,5,0.11808
1500,reversed,merge_insertion,5,5,0.10034
1500,reversed,merge_insertion,10,5,0.09352
1500,reversed,merge_insertion,15,5,0.09154
1500,reversed,merge_insertion,20,5,0.09008
1500,reversed,merge_insertion,30,5,0.15258
1500,reversed,merge_insertion,50,5,0.16578
1500,almost_sorted,merge,0,5,0.12032
1500,almost_sorted,merge_insertion,5,5,0.0971
1500,almost_sorted,merge_insertion,10,5,0.08832
1500,almost_sorted,merge_insertion,15,5,0.07474
1500,almost_sorted,merge_insertion,20,5,0.07594
1500,almost_sorted,merge_insertion,30,5,0.06388
1500,almost_sorted,merge_insertion,50,5,0.06494
1600,random,merge,0,5,0.23674
1600,random,merge_insertion,5,5,0.2123
1600,random,merge_insertion,10,5,0.19608
1600,random,merge_insertion,15,5,0.18398
1600,random,merge_insertion,20,5,0.20062
1600,random,merge_insertion,30,5,0.18064
1600,random,merge_insertion,50,5,0.19368
1600,reversed,merge,0,5,0.1326
1600,reversed,merge_insertion,5,5,0.12324
1600,reversed,merge_insertion,10,5,0.10274
1600,reversed,merge_insertion,15,5,0.10088
1600,reversed,merge_insertion,20,5,0.09984
1600,reversed,merge_insertion,30,5,0.12388
1600,reversed,merge_insertion,50,5,0.2048
1600,almost_sorted,merge,0,5,0.12686
1600,almost_sorted,merge_insertion,5,5,0.10586
1600,almost_sorted,merge_insertion,10,5,0.09418
1600,almost_sorted,merge_insertion,15,5,0.08054
1600,almost_sorted,merge_insertion,20,5,0.08024
1600,almost_sorted,merge_insertion,30,5,0.0681
1600,almost_sorted,merge_insertion,50,5,0.05908
1700,random,merge,0,5,0.24324
1700,random,merge_insertion,5,5,0.23572
1700,random,merge_insertion,10,5,0.2222
1700,random,merge_insertion,15,5,0.20074
1700,random,merge_insertion,20,5,0.19608
1700,random,merge_insertion,30,5,0.21678
1700,random,merge_insertion,50,5,0.21568
1700,reversed,merge,0,5,0.14758
1700,reversed,merge_insertion,5,5,0.11512
1700,reversed,merge_insertion,10,5,0.10498
1700,reversed,merge_insertion,15,5,0.1051
1700,reversed,merge_insertion,20,5,0.10232
1700,reversed,merge_insertion,30,5,0.15274
1700,reversed,merge_insertion,50,5,0.13548
1700,almost_sorted,merge,0,5,0.17454
1700,almost_sorted,merge_insertion,5,5,0.11852
1700,almost_sorted,merge_insertion,10,5,0.10582
1700,almost_sorted,merge_insertion,15,5,0.08674
1700,almost_sorted,merge_insertion,20,5,0.08594
1700,almost_sorted,merge_insertion,30,5,0.07336
1700,almost_sorted,merge_insertion,50,5,0.07144
1800,random,merge,0,5,0.2648
1800,random,merge_insertion,5,5,0.23376
1800,random,merge_insertion,10,5,0.24178
1800,random,merge_insertion,15,5,0.21556
1800,random,merge_insertion,20,5,0.21052
1800,random,merge_insertion,30,5,0.21012
1800,random,merge_insertion,50,5,0.20964
1800,reversed,merge,0,5,0.18214
1800,reversed,merge_insertion,5,5,0.13192
1800,reversed,merge_insertion,10,5,0.11332
1800,reversed,merge_insertion,15,5,0.11526
1800,reversed,merge_insertion,20,5,0.11432
1800,reversed,merge_insertion,30,5,0.14138
1800,reversed,merge_insertion,50,5,0.2228
1800,almost_sorted,merge,0,5,0.14366
1800,almost_sorted,merge_insertion,5,5,0.11844
1800,almost_sorted,merge_insertion,10,5,0.11672
1800,almost_sorted,merge_insertion,15,5,0.0883
1800,almost_sorted,merge_insertion,20,5,0.08848
1800,almost_sorted,merge_insertion,30,5,0.07594
1800,almost_sorted,merge_insertion,50,5,0.07634
1900,random,merge,0,5,0.27248
1900,random,merge_insertion,5,5,0.24948
1900,random,merge_insertion,10,5,0.23844
1900,random,merge_insertion,15,5,0.2479
1900,random,merge_insertion,20,5,0.22302
1900,random,merge_insertion,30,5,0.2562
1900,random,merge_insertion,50,5,0.22574
1900,reversed,merge,0,5,0.15448
1900,reversed,merge_insertion,5,5,0.12876
1900,reversed,merge_insertion,10,5,0.11962
1900,reversed,merge_insertion,15,5,0.2267
1900,reversed,merge_insertion,20,5,0.18546
1900,reversed,merge_insertion,30,5,0.15276
1900,reversed,merge_insertion,50,5,0.15404
1900,almost_sorted,merge,0,5,0.15202
1900,almost_sorted,merge_insertion,5,5,0.12418
1900,almost_sorted,merge_insertion,10,5,0.11044
1900,almost_sorted,merge_insertion,15,5,0.09498
1900,almost_sorted,merge_insertion,20,5,0.09564
1900,almost_sorted,merge_insertion,30,5,0.08032
1900,almost_sorted,merge_insertion,50,5,0.08012
2000,random,merge,0,5,0.2905
2000,random,merge_insertion,5,5,0.26244
2000,random,merge_insertion,10,5,0.271
2000,random,merge_insertion,15,5,0.24392
2000,random,merge_insertion,20,5,0.2374
2000,random,merge_insertion,30,5,0.2354
2000,random,merge_insertion,50,5,0.32842
2000,reversed,merge,0,5,0.22864
2000,reversed,merge_insertion,5,5,0.15972
2000,reversed,merge_insertion,10,5,0.15322
2000,reversed,merge_insertion,15,5,0.12694
2000,reversed,merge_insertion,20,5,0.13652
2000,reversed,merge_insertion,30,5,0.1356
2000,reversed,merge_insertion,50,5,0.17258
2000,almost_sorted,merge,0,5,0.16466
2000,almost_sorted,merge_insertion,5,5,0.13122
2000,almost_sorted,merge_insertion,10,5,0.11736
2000,almost_sorted,merge_insertion,15,5,0.1109
2000,almost_sorted,merge_insertion,20,5,0.09678
2000,almost_sorted,merge_insertion,30,5,0.09862
2000,almost_sorted,merge_insertion,50,5,0.08618
2100,random,merge,0,5,0.32704
2100,random,merge_insertion,5,5,0.30952
2100,random,merge_insertion,10,5,0.3851
2100,random,merge_insertion,15,5,0.26652
2100,random,merge_insertion,20,5,0.2525
2100,random,merge_insertion,30,5,0.25034
2100,random,merge_insertion,50,5,0.27692
2100,reversed,merge,0,5,0.17544
2100,reversed,merge_insertion,5,5,0.1466
2100,reversed,merge_insertion,10,5,0.13578
2100,reversed,merge_insertion,15,5,0.1342
2100,reversed,merge_insertion,20,5,0.14394
2100,reversed,merge_insertion,30,5,0.14264
2100,reversed,merge_insertion,50,5,0.19146
2100,almost_sorted,merge,0,5,0.17672
2100,almost_sorted,merge_insertion,5,5,0.1387
2100,almost_sorted,merge_insertion,10,5,0.12142
2100,almost_sorted,merge_insertion,15,5,0.15706
2100,almost_sorted,merge_insertion,20,5,0.11262
2100,almost_sorted,merge_insertion,30,5,0.10154
2100,almost_sorted,merge_insertion,50,5,0.0878
2200,random,merge,0,5,0.77574
2200,random,merge_insertion,5,5,1.05116
2200,random,merge_insertion,10,5,0.3005
2200,random,merge_insertion,15,5,0.27444
2200,random,merge_insertion,20,5,0.26432
2200,random,merge_insertion,30,5,0.2773
2200,random,merge_insertion,50,5,0.33486
2200,reversed,merge,0,5,0.30424
2200,reversed,merge_insertion,5,5,0.26768
2200,reversed,merge_insertion,10,5,0.23958
2200,reversed,merge_insertion,15,5,0.1971
2200,reversed,merge_insertion,20,5,0.2617
2200,reversed,merge_insertion,30,5,0.27302
2200,reversed,merge_insertion,50,5,0.3225
2200,almost_sorted,merge,0,5,0.27728
2200,almost_sorted,merge_insertion,5,5,0.23404
2200,almost_sorted,merge_insertion,10,5,0.2033
2200,almost_sorted,merge_insertion,15,5,0.2355
2200,almost_sorted,merge_insertion,20,5,0.26432
2200,almost_sorted,merge_insertion,30,5,0.24506
2200,almost_sorted,merge_insertion,50,5,0.24008
2300,random,merge,0,5,0.67834
2300,random,merge_insertion,5,5,0.6026
2300,random,merge_insertion,10,5,0.4784
2300,random,merge_insertion,15,5,0.46768
2300,random,merge_insertion,20,5,0.49434
2300,random,merge_insertion,30,5,0.47308
2300,random,merge_insertion,50,5,0.51834
2300,reversed,merge,0,5,0.3595
2300,reversed,merge_insertion,5,5,0.3174
2300,reversed,merge_insertion,10,5,0.25824
2300,reversed,merge_insertion,15,5,0.25436
2300,reversed,merge_insertion,20,5,0.29318
2300,reversed,merge_insertion,30,5,0.2893
2300,reversed,merge_insertion,50,5,0.46228
2300,almost_sorted,merge,0,5,0.21062
2300,almost_sorted,merge_insertion,5,5,0.14972
2300,almost_sorted,merge_insertion,10,5,0.1316
2300,almost_sorted,merge_insertion,15,5,0.13148
2300,almost_sorted,merge_insertion,20,5,0.1119
2300,almost_sorted,merge_insertion,30,5,0.11152
2300,almost_sorted,merge_insertion,50,5,0.09664
2400,random,merge,0,5,0.36586
2400,random,merge_insertion,5,5,0.32222
2400,random,merge_insertion,10,5,0.30316
2400,random,merge_insertion,15,5,0.30096
2400,random,merge_insertion,20,5,0.28994
2400,random,merge_insertion,30,5,0.37206
2400,random,merge_insertion,50,5,0.30078
2400,reversed,merge,0,5,0.21118
2400,reversed,merge_insertion,5,5,0.16056
2400,reversed,merge_insertion,10,5,0.151
2400,reversed,merge_insertion,15,5,0.14924
2400,reversed,merge_insertion,20,5,0.16778
2400,reversed,merge_insertion,30,5,0.16508
2400,reversed,merge_insertion,50,5,0.22606
2400,almost_sorted,merge,0,5,0.23056
2400,almost_sorted,merge_insertion,5,5,0.16008
2400,almost_sorted,merge_insertion,10,5,0.13752
2400,almost_sorted,merge_insertion,15,5,0.13694
2400,almost_sorted,merge_insertion,20,5,0.11672
2400,almost_sorted,merge_insertion,30,5,0.1161
2400,almost_sorted,merge_insertion,50,5,0.1022
2500,random,merge,0,5,0.44886
2500,random,merge_insertion,5,5,0.33546
2500,random,merge_insertion,10,5,0.31474
2500,random,merge_insertion,15,5,0.31484
2500,random,merge_insertion,20,5,0.31082
2500,random,merge_insertion,30,5,0.30672
2500,random,merge_insertion,50,5,0.31494
2500,reversed,merge,0,5,0.21246
2500,reversed,merge_insertion,5,5,0.16962
2500,reversed,merge_insertion,10,5,0.15914
2500,reversed,merge_insertion,15,5,0.15884
2500,reversed,merge_insertion,20,5,0.1933
2500,reversed,merge_insertion,30,5,0.36382
2500,reversed,merge_insertion,50,5,0.4472
2500,almost_sorted,merge,0,5,0.29732
2500,almost_sorted,merge_insertion,5,5,0.18014
2500,almost_sorted,merge_insertion,10,5,0.18256
2500,almost_sorted,merge_insertion,15,5,0.15542
2500,almost_sorted,merge_insertion,20,5,0.13178
2500,almost_sorted,merge_insertion,30,5,0.13466
2500,almost_sorted,merge_insertion,50,5,0.11082
2600,random,merge,0,5,0.4216
2600,random,merge_insertion,5,5,0.34968
2600,random,merge_insertion,10,5,0.33534
2600,random,merge_insertion,15,5,0.43718
2600,random,merge_insertion,20,5,0.32224
2600,random,merge_insertion,30,5,0.32394
2600,random,merge_insertion,50,5,0.33008
2600,reversed,merge,0,5,0.2203
2600,reversed,merge_insertion,5,5,0.19674
2600,reversed,merge_insertion,10,5,0.16772
2600,reversed,merge_insertion,15,5,0.16986
2600,reversed,merge_insertion,20,5,0.18674
2600,reversed,merge_insertion,30,5,0.20868
2600,reversed,merge_insertion,50,5,0.25678
2600,almost_sorted,merge,0,5,0.2241
2600,almost_sorted,merge_insertion,5,5,0.1734
2600,almost_sorted,merge_insertion,10,5,0.25964
2600,almost_sorted,merge_insertion,15,5,0.18314
2600,almost_sorted,merge_insertion,20,5,0.1332
2600,almost_sorted,merge_insertion,30,5,0.12656
2600,almost_sorted,merge_insertion,50,5,0.11042
2700,random,merge,0,5,0.41852
2700,random,merge_insertion,5,5,0.37124
2700,random,merge_insertion,10,5,0.37508
2700,random,merge_insertion,15,5,0.34454
2700,random,merge_insertion,20,5,0.33714
2700,random,merge_insertion,30,5,0.33148
2700,random,merge_insertion,50,5,0.4237
2700,reversed,merge,0,5,0.24032
2700,reversed,merge_insertion,5,5,0.20106
2700,reversed,merge_insertion,10,5,0.18036
2700,reversed,merge_insertion,15,5,0.17694
2700,reversed,merge_insertion,20,5,0.1746
2700,reversed,merge_insertion,30,5,0.20502
2700,reversed,merge_insertion,50,5,0.27998
2700,almost_sorted,merge,0,5,0.23304
2700,almost_sorted,merge_insertion,5,5,0.18704
2700,almost_sorted,merge_insertion,10,5,0.16986
2700,almost_sorted,merge_insertion,15,5,0.1754
2700,almost_sorted,merge_insertion,20,5,0.15602
2700,almost_sorted,merge_insertion,30,5,0.13764
2700,almost_sorted,merge_insertion,50,5,0.11742
2800,random,merge,0,5,0.60606
2800,random,merge_insertion,5,5,0.39232
2800,random,merge_insertion,10,5,0.39112
2800,random,merge_insertion,15,5,0.35994
2800,random,merge_insertion,20,5,0.35406
2800,random,merge_insertion,30,5,0.3486
2800,random,merge_insertion,50,5,0.4431
2800,reversed,merge,0,5,0.23874
2800,reversed,merge_insertion,5,5,0.26046
2800,reversed,merge_insertion,10,5,0.2138
2800,reversed,merge_insertion,15,5,0.1799
2800,reversed,merge_insertion,20,5,0.17984
2800,reversed,merge_insertion,30,5,0.2109
2800,reversed,merge_insertion,50,5,0.3019
2800,almost_sorted,merge,0,5,0.24168
2800,almost_sorted,merge_insertion,5,5,0.19298
2800,almost_sorted,merge_insertion,10,5,0.18386
2800,almost_sorted,merge_insertion,15,5,0.15826
2800,almost_sorted,merge_insertion,20,5,0.15894
2800,almost_sorted,merge_insertion,30,5,0.13572
2800,almost_sorted,merge_insertion,50,5,0.11884
2900,random,merge,0,5,0.50048
2900,random,merge_insertion,5,5,0.52112
2900,random,merge_insertion,10,5,0.39202
2900,random,merge_insertion,15,5,0.38236
2900,random,merge_insertion,20,5,0.36982
2900,random,merge_insertion,30,5,0.3674
2900,random,merge_insertion,50,5,0.38122
2900,reversed,merge,0,5,0.24294
2900,reversed,merge_insertion,5,5,0.21038
2900,reversed,merge_insertion,10,5,0.21786
2900,reversed,merge_insertion,15,5,0.21532
2900,reversed,merge_insertion,20,5,0.18818
2900,reversed,merge_insertion,30,5,0.22996
2900,reversed,merge_insertion,50,5,0.31486
2900,almost_sorted,merge,0,5,0.2522
2900,almost_sorted,merge_insertion,5,5,0.20738
2900,almost_sorted,merge_insertion,10,5,0.23386
2900,almost_sorted,merge_insertion,15,5,0.16374
2900,almost_sorted,merge_insertion,20,5,0.16372
2900,almost_sorted,merge_insertion,30,5,0.14108
2900,almost_sorted,merge_insertion,50,5,0.1244
3000,random,merge,0,5,0.46506
3000,random,merge_insertion,5,5,0.42752
