size,array_type,algorithm,repeats,time_ms
500,random,quick,3,0.0857
500,random,introsort,3,0.0593
500,reversed,quick,3,0.0512
500,reversed,introsort,3,0.0224333
500,almost_sorted,quick,3,0.0497
500,almost_sorted,introsort,3,0.0204
600,random,quick,3,0.104533
600,random,introsort,3,0.0708
600,reversed,quick,3,0.0598333
600,reversed,introsort,3,0.0234333
600,almost_sorted,quick,3,0.0571
600,almost_sorted,introsort,3,0.0221
700,random,quick,3,0.1168
700,random,introsort,3,0.0782
700,reversed,quick,3,0.0644667
700,reversed,introsort,3,0.0286
700,almost_sorted,quick,3,0.0669333
700,almost_sorted,introsort,3,0.0337
800,random,quick,3,0.1764
800,random,introsort,3,0.119133
800,reversed,quick,3,0.0905
800,reversed,introsort,3,0.0325333
800,almost_sorted,quick,3,0.0706
800,almost_sorted,introsort,3,0.121567
900,random,quick,3,0.191567
900,random,introsort,3,0.130267
900,reversed,quick,3,0.109433
900,reversed,introsort,3,0.0582
900,almost_sorted,quick,3,0.1184
900,almost_sorted,introsort,3,0.0458
1000,random,quick,3,0.219333
1000,random,introsort,3,0.166433
1000,reversed,quick,3,0.1132
1000,reversed,introsort,3,0.0524
1000,almost_sorted,quick,3,0.111033
1000,almost_sorted,introsort,3,0.0514667
1100,random,quick,3,0.2361
1100,random,introsort,3,0.149267
1100,reversed,quick,3,0.115933
1100,reversed,introsort,3,0.0504667
1100,almost_sorted,quick,3,0.1071
1100,almost_sorted,introsort,3,0.0486667
1200,random,quick,3,0.218667
1200,random,introsort,3,0.147633
1200,reversed,quick,3,0.114
1200,reversed,introsort,3,0.0502667
1200,almost_sorted,quick,3,0.109067
1200,almost_sorted,introsort,3,0.0506667
1300,random,quick,3,0.226
1300,random,introsort,3,0.154533
1300,reversed,quick,3,0.118067
1300,reversed,introsort,3,0.0566667
1300,almost_sorted,quick,3,0.113
1300,almost_sorted,introsort,3,0.0536667
1400,random,quick,3,0.247833
1400,random,introsort,3,0.1659
1400,reversed,quick,3,0.1286
1400,reversed,introsort,3,0.0598333
1400,almost_sorted,quick,3,0.124033
1400,almost_sorted,introsort,3,0.0576667
1500,random,quick,3,0.272533
1500,random,introsort,3,0.184267
1500,reversed,quick,3,0.137667
1500,reversed,introsort,3,0.0670667
1500,almost_sorted,quick,3,0.140467
1500,almost_sorted,introsort,3,0.0605667
1600,random,quick,3,0.293333
1600,random,introsort,3,0.196133
1600,reversed,quick,3,0.1507
1600,reversed,introsort,3,0.0665
1600,almost_sorted,quick,3,0.143933
1600,almost_sorted,introsort,3,0.0649333
1700,random,quick,3,0.302367
1700,random,introsort,3,0.2124
1700,reversed,quick,3,0.1554
1700,reversed,introsort,3,0.0773667
1700,almost_sorted,quick,3,0.1476
1700,almost_sorted,introsort,3,0.0810333
1800,random,quick,3,0.309
1800,random,introsort,3,0.231667
1800,reversed,quick,3,0.1663
1800,reversed,introsort,3,0.0814
1800,almost_sorted,quick,3,0.164967
1800,almost_sorted,introsort,3,0.0903667
1900,random,quick,3,0.339833
1900,random,introsort,3,0.241567
1900,reversed,quick,3,0.1711
1900,reversed,introsort,3,0.0854667
1900,almost_sorted,quick,3,0.1674
1900,almost_sorted,introsort,3,0.0812333
2000,random,quick,3,0.354533
2000,random,introsort,3,0.239733
2000,reversed,quick,3,0.259833
2000,reversed,introsort,3,0.1109
2000,almost_sorted,quick,3,0.219733
2000,almost_sorted,introsort,3,0.1046
2100,random,quick,3,0.510367
2100,random,introsort,3,0.271133
2100,reversed,quick,3,0.195633
2100,reversed,introsort,3,0.0991333
2100,almost_sorted,quick,3,0.1947
2100,almost_sorted,introsort,3,0.0956
2200,random,quick,3,0.429667
2200,random,introsort,3,0.277733
2200,reversed,quick,3,0.161567
2200,reversed,introsort,3,0.0882333
2200,almost_sorted,quick,3,0.152933
2200,almost_sorted,introsort,3,0.0807333
2300,random,quick,3,0.427167
2300,random,introsort,3,0.435667
2300,reversed,quick,3,0.286167
2300,reversed,introsort,3,0.129667
2300,almost_sorted,quick,3,0.252167
2300,almost_sorted,introsort,3,0.133467
2400,random,quick,3,0.5446
2400,random,introsort,3,0.381733
2400,reversed,quick,3,0.2748
2400,reversed,introsort,3,0.130267
2400,almost_sorted,quick,3,0.2548
2400,almost_sorted,introsort,3,0.1314
2500,random,quick,3,0.5536
2500,random,introsort,3,0.341567
2500,reversed,quick,3,0.2544
2500,reversed,introsort,3,0.1143
2500,almost_sorted,quick,3,0.214267
2500,almost_sorted,introsort,3,0.120933
2600,random,quick,3,0.626367
2600,random,introsort,3,0.432067
2600,reversed,quick,3,0.291433
2600,reversed,introsort,3,0.167167
2600,almost_sorted,quick,3,0.297933
2600,almost_sorted,introsort,3,0.127
2700,random,quick,3,0.612333
2700,random,introsort,3,0.3877
2700,reversed,quick,3,0.267567
2700,reversed,introsort,3,0.134333
2700,almost_sorted,quick,3,0.250133
2700,almost_sorted,introsort,3,0.1128
2800,random,quick,3,0.5314
2800,random,introsort,3,0.384733
2800,reversed,quick,3,0.272167
2800,reversed,introsort,3,0.1244
2800,almost_sorted,quick,3,0.248633
2800,almost_sorted,introsort,3,0.128867
2900,random,quick,3,0.555133
2900,random,introsort,3,0.346
2900,reversed,quick,3,0.275567
2900,reversed,introsort,3,0.1396
2900,almost_sorted,quick,3,0.262233
2900,almost_sorted,introsort,3,0.125533
3000,random,quick,3,0.578633
3000,random,introsort,3,0.4116
3000,reversed,quick,3,0.301333
3000,reversed,introsort,3,0.135333
3000,almost_sorted,quick,3,0.279533
3000,almost_sorted,introsort,3,0.137133
3100,random,quick,3,0.556433
3100,random,introsort,3,0.426
3100,reversed,quick,3,0.2632
3100,reversed,introsort,3,0.144033
3100,almost_sorted,quick,3,0.316767
3100,almost_sorted,introsort,3,0.168967
3200,random,quick,3,0.740567
3200,random,introsort,3,0.4136
3200,reversed,quick,3,0.260533
3200,reversed,introsort,3,0.240033
3200,almost_sorted,quick,3,0.309867
3200,almost_sorted,introsort,3,0.183
3300,random,quick,3,0.839667
3300,random,introsort,3,0.410567
3300,reversed,quick,3,0.285867
3300,reversed,introsort,3,0.245133
3300,almost_sorted,quick,3,0.305833
3300,almost_sorted,introsort,3,0.184067
3400,random,quick,3,0.545633
3400,random,introsort,3,0.337633
3400,reversed,quick,3,0.241733
3400,reversed,introsort,3,0.129767
3400,almost_sorted,quick,3,0.263267
3400,almost_sorted,introsort,3,0.1197
3500,random,quick,3,0.536867
3500,random,introsort,3,0.366533
3500,reversed,quick,3,0.286833
3500,reversed,introsort,3,0.1319
3500,almost_sorted,quick,3,0.249033
3500,almost_sorted,introsort,3,0.135567
3600,random,quick,3,0.544833
3600,random,introsort,3,0.3907
3600,reversed,quick,3,0.252167
3600,reversed,introsort,3,0.1335
3600,almost_sorted,quick,3,0.256067
3600,almost_sorted,introsort,3,0.138033
3700,random,quick,3,0.541767
3700,random,introsort,3,0.4041
3700,reversed,quick,3,0.279767
3700,reversed,introsort,3,0.128833
3700,almost_sorted,quick,3,0.255667
3700,almost_sorted,introsort,3,0.1259
3800,random,quick,3,0.632033
3800,random,introsort,3,0.6221
3800,reversed,quick,3,0.4489
3800,reversed,introsort,3,0.252267
3800,almost_sorted,quick,3,0.4498
3800,almost_sorted,introsort,3,0.230533
3900,random,quick,3,0.898167
3900,random,introsort,3,0.656733
3900,reversed,quick,3,0.465367
3900,reversed,introsort,3,0.196067
3900,almost_sorted,quick,3,0.316967
3900,almost_sorted,introsort,3,0.1404
4000,random,quick,3,0.587267
4000,random,introsort,3,0.403967
4000,reversed,quick,3,0.2975
4000,reversed,introsort,3,0.160567
4000,almost_sorted,quick,3,0.287067
4000,almost_sorted,introsort,3,0.1389
4100,random,quick,3,0.8483
4100,random,introsort,3,0.427767
4100,reversed,quick,3,0.304233
4100,reversed,introsort,3,0.162233
4100,almost_sorted,quick,3,0.311567
4100,almost_sorted,introsort,3,0.141
4200,random,quick,3,0.6231
4200,random,introsort,3,0.5131
4200,reversed,quick,3,0.330767
4200,reversed,introsort,3,0.158667
4200,almost_sorted,quick,3,0.330533
4200,almost_sorted,introsort,3,0.1531
4300,random,quick,3,0.651633
4300,random,introsort,3,0.454133
4300,reversed,quick,3,0.308333
4300,reversed,introsort,3,0.171233
4300,almost_sorted,quick,3,0.300267
4300,almost_sorted,introsort,3,0.149867
4400,random,quick,3,0.646267
4400,random,introsort,3,0.485333
4400,reversed,quick,3,0.3309
4400,reversed,introsort,3,0.167467
4400,almost_sorted,quick,3,0.367367
4400,almost_sorted,introsort,3,0.153633
4500,random,quick,3,0.7235
4500,random,introsort,3,0.497267
